report_month,program,individuals,source_file
2024-10-01,STAR_PLUS_HCBS,5135,interest-list-data-oct-2024.xlsx
2024-10-01,TXHML,111939,interest-list-data-oct-2024.xlsx
2024-11-01,CLASS,91575,interest-list-data-nov-2024.xlsx
2024-11-01,DBMD,2084,interest-list-data-nov-2024.xlsx
2024-11-01,HCS,124053,interest-list-data-nov-2024.xlsx
2024-11-01,MDCP,5900,interest-list-data-nov-2024.xlsx
2024-11-01,STAR_PLUS_HCBS,2246,interest-list-data-nov-2024.xlsx
2024-11-01,TXHML,112063,interest-list-data-nov-2024.xlsx
2024-12-01,CLASS,91881,interest-list-data-dec-2024.xlsx
2024-12-01,DBMD,2040,interest-list-data-dec-2024.xlsx
2024-12-01,HCS,123954,interest-list-data-dec-2024.xlsx
2024-12-01,MDCP,5778,interest-list-data-dec-2024.xlsx
2024-12-01,STAR_PLUS_HCBS,2881,interest-list-data-dec-2024.xlsx
2024-12-01,TXHML,112219,interest-list-data-dec-2024.xlsx
2025-01-01,CLASS,92311,interest-list-data-jan-2025.xlsx
2025-01-01,DBMD,2029,interest-list-data-jan-2025.xlsx
2025-01-01,HCS,124303,interest-list-data-jan-2025.xlsx
2025-01-01,MDCP,6048,interest-list-data-jan-2025.xlsx
2025-01-01,STAR_PLUS_HCBS,2456,interest-list-data-jan-2025.xlsx
2025-01-01,TXHML,112581,interest-list-data-jan-2025.xlsx
2025-02-01,CLASS,92713,interest-list-data-feb-2025.xlsx
2025-02-01,DBMD,2019,interest-list-data-feb-2025.xlsx
2025-02-01,HCS,124617,interest-list-data-feb-2025.xlsx
2025-02-01,MDCP,6252,interest-list-data-feb-2025.xlsx
2025-02-01,STAR_PLUS_HCBS,2507,interest-list-data-feb-2025.xlsx
2025-02-01,TXHML,112923,interest-list-data-feb-2025.xlsx
2025-03-01,CLASS,93065,interest-list-data-march-2025.xlsx
2025-03-01,DBMD,2034,interest-list-data-march-2025.xlsx
2025-03-01,HCS,124897,interest-list-data-march-2025.xlsx
2025-03-01,MDCP,6444,interest-list-data-march-2025.xlsx
2025-03-01,STAR_PLUS_HCBS,2866,interest-list-data-march-2025.xlsx
2025-03-01,TXHML,113207,interest-list-data-march-2025.xlsx
2025-04-01,CLASS,93765,interest-list-data-april-2025.xlsx
2025-04-01,DBMD,2094,interest-list-data-april-2025.xlsx
2025-04-01,HCS,125564,interest-list-data-april-2025.xlsx
2025-04-01,MDCP,6736,interest-list-data-april-2025.xlsx
2025-04-01,STAR_PLUS_HCBS,5927,interest-list-data-april-2025.xlsx
2025-04-01,TXHML,113926,interest-list-data-april-2025.xlsx
