report_month,program,years_on_list_bucket,individuals,percent_of_program_total,source_file
2024-01-01,MDCP,1–2,2851,0.5359023,interest-list-data-jan-2024.xlsx
2024-01-01,MDCP,2–3,672,0.1263158,interest-list-data-jan-2024.xlsx
2024-01-01,MDCP,5–6,1,0.000188,interest-list-data-jan-2024.xlsx
2024-01-01,MDCP,6–7,1,0.000188,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,0–1,2732,0.9414197,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,1–2,149,0.0513439,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,2–3,1,0.0003446,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,3–4,1,0.0003446,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,4–5,6,0.0020675,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,5–6,5,0.0017229,interest-list-data-jan-2024.xlsx
2024-01-01,STAR_PLUS_HCBS,7–8,8,0.0027567,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,0–1,5453,0.0510561,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,10–11,6923,0.0648197,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,11–12,7719,0.0722726,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,12–13,7542,0.0706153,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,13–14,7869,0.073677,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,14–15,3715,0.0347833,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,1–2,6195,0.0580034,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,2–3,6165,0.0577226,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,3–4,6341,0.0593704,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,4–5,8635,0.080849,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,5–6,8447,0.0790888,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,6–7,8508,0.0796599,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,7–8,9006,0.0843227,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,8–9,7545,0.0706434,interest-list-data-jan-2024.xlsx
2024-01-01,TXHML,9–10,6741,0.0631156,interest-list-data-jan-2024.xlsx
2024-02-01,CLASS,0–1,2870,0.0345762,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,10–11,4721,0.0568761,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,11–12,4927,0.0593579,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,12–13,5884,0.0708873,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,13–14,6740,0.0811999,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,14–15,5963,0.071839,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,15–16,5321,0.0641046,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,16–17,387,0.0046624,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,1–2,3936,0.0474188,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,2–3,4890,0.0589121,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,3–4,3678,0.0443106,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,4–5,6106,0.0735618,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,5–6,5883,0.0708752,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,6–7,6132,0.0738751,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,7–8,5793,0.069791,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,8–9,5212,0.0627914,interest-list-data-feb-2024.xlsx
2024-02-01,CLASS,9–10,4562,0.0549605,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,0–1,355,0.1955923,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,1–2,339,0.1867769,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,2–3,249,0.1371901,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,3–4,253,0.1393939,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,4–5,258,0.1421488,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,5–6,169,0.0931129,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,6–7,125,0.0688705,interest-list-data-feb-2024.xlsx
2024-02-01,DBMD,7–8,67,0.0369146,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,0–1,5542,0.0467723,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,10–11,6683,0.0564019,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,11–12,7694,0.0649343,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,12–13,7581,0.0639806,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,13–14,7998,0.0674999,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,14–15,7322,0.0617948,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,15–16,5769,0.0486881,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,16–17,2935,0.0247702,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,1–2,6675,0.0563343,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,2–3,5930,0.0500468,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,3–4,5995,0.0505954,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,4–5,8409,0.0709686,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,5–6,8296,0.0700149,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,6–7,8341,0.0703947,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,7–8,8771,0.0740237,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,8–9,7817,0.0659724,interest-list-data-feb-2024.xlsx
2024-02-01,HCS,9–10,6731,0.056807,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,0–1,1846,0.3633143,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,1–2,2878,0.5664239,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,2–3,354,0.0696713,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,3–4,1,0.0001968,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,5–6,1,0.0001968,interest-list-data-feb-2024.xlsx
2024-02-01,MDCP,6–7,1,0.0001968,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,0–1,2213,0.9736032,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,1–2,40,0.0175979,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,2–3,1,0.0004399,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,4–5,3,0.0013198,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,5–6,8,0.0035196,interest-list-data-feb-2024.xlsx
2024-02-01,STAR_PLUS_HCBS,7–8,8,0.0035196,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,0–1,5576,0.0520557,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,10–11,6853,0.0639774,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,11–12,7774,0.0725755,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,12–13,7536,0.0703536,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,13–14,7809,0.0729023,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,14–15,3933,0.0367172,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,1–2,6704,0.0625864,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,2–3,5924,0.0553045,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,3–4,6043,0.0564155,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,4–5,8584,0.0801374,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,5–6,8448,0.0788678,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,6–7,8572,0.0800254,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,7–8,8951,0.0835636,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,8–9,7755,0.0723981,interest-list-data-feb-2024.xlsx
2024-02-01,TXHML,9–10,6654,0.0621196,interest-list-data-feb-2024.xlsx
2024-03-01,CLASS,0–1,6089,0.0687595,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,10–11,4776,0.0539326,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,11–12,4869,0.0549828,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,12–13,5732,0.0647281,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,13–14,6739,0.0760996,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,14–15,6105,0.0689402,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,15–16,5450,0.0615437,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,16–17,667,0.007532,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,1–2,5653,0.063836,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,2–3,5063,0.0571735,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,3–4,3763,0.0424934,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,4–5,5950,0.0671899,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,5–6,5833,0.0658687,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,6–7,6179,0.0697758,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,7–8,5820,0.0657219,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,8–9,5331,0.0601999,interest-list-data-march-2024.xlsx
2024-03-01,CLASS,9–10,4536,0.0512224,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,0–1,529,0.2621407,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,1–2,356,0.1764123,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,2–3,255,0.1263627,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,3–4,262,0.1298315,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,4–5,267,0.1323092,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,5–6,170,0.0842418,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,6–7,124,0.061447,interest-list-data-march-2024.xlsx
2024-03-01,DBMD,7–8,55,0.0272547,interest-list-data-march-2024.xlsx
2024-03-01,HCS,0–1,8178,0.0665029,interest-list-data-march-2024.xlsx
2024-03-01,HCS,10–11,6665,0.0541993,interest-list-data-march-2024.xlsx
2024-03-01,HCS,11–12,7611,0.0618921,interest-list-data-march-2024.xlsx
2024-03-01,HCS,12–13,7489,0.0609,interest-list-data-march-2024.xlsx
2024-03-01,HCS,13–14,7943,0.0645919,interest-list-data-march-2024.xlsx
2024-03-01,HCS,14–15,7508,0.0610545,interest-list-data-march-2024.xlsx
2024-03-01,HCS,15–16,5903,0.0480028,interest-list-data-march-2024.xlsx
2024-03-01,HCS,16–17,3169,0.0257701,interest-list-data-march-2024.xlsx
2024-03-01,HCS,1–2,7549,0.061388,interest-list-data-march-2024.xlsx
2024-03-01,HCS,2–3,6570,0.0534268,interest-list-data-march-2024.xlsx
2024-03-01,HCS,3–4,5974,0.0485802,interest-list-data-march-2024.xlsx
2024-03-01,HCS,4–5,8289,0.0674056,interest-list-data-march-2024.xlsx
2024-03-01,HCS,5–6,8272,0.0672673,interest-list-data-march-2024.xlsx
2024-03-01,HCS,6–7,8311,0.0675845,interest-list-data-march-2024.xlsx
2024-03-01,HCS,7–8,8661,0.0704307,interest-list-data-march-2024.xlsx
2024-03-01,HCS,8–9,8042,0.065397,interest-list-data-march-2024.xlsx
2024-03-01,HCS,9–10,6838,0.0556062,interest-list-data-march-2024.xlsx
2024-03-01,MDCP,0–1,2733,0.4625931,interest-list-data-march-2024.xlsx
2024-03-01,MDCP,1–2,3042,0.5148951,interest-list-data-march-2024.xlsx
2024-03-01,MDCP,2–3,132,0.0223426,interest-list-data-march-2024.xlsx
2024-03-01,MDCP,6–7,1,0.0001693,interest-list-data-march-2024.xlsx
2024-03-01,STAR_PLUS_HCBS,0–1,2599,0.9908502,interest-list-data-march-2024.xlsx
2024-03-01,STAR_PLUS_HCBS,1–2,24,0.0091498,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,0–1,8169,0.0733995,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,10–11,6840,0.0614583,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,11–12,7714,0.0693113,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,12–13,7449,0.0669302,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,13–14,7770,0.0698145,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,14–15,4233,0.0380341,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,1–2,7511,0.0674873,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,2–3,6588,0.059194,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,3–4,6007,0.0539737,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,4–5,8456,0.0759783,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,5–6,8427,0.0757177,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,6–7,8544,0.0767689,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,7–8,8846,0.0794825,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,8–9,8035,0.0721955,interest-list-data-march-2024.xlsx
2024-03-01,TXHML,9–10,6706,0.0602543,interest-list-data-march-2024.xlsx
2024-04-01,CLASS,0–1,6193,0.0695796,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,10–11,4706,0.0528728,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,11–12,4941,0.0555131,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,12–13,5606,0.0629845,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,13–14,6725,0.0755567,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,14–15,6096,0.0684898,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,15–16,5525,0.0620745,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,16–17,1002,0.0112577,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,1–2,5703,0.0640743,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,2–3,5106,0.0573669,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,3–4,3950,0.044379,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,4–5,5605,0.0629733,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,5–6,5802,0.0651866,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,6–7,6309,0.0708829,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,7–8,5760,0.0647147,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,8–9,5394,0.0606027,interest-list-data-april-2024.xlsx
2024-04-01,CLASS,9–10,4583,0.0514909,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,0–1,562,0.2732134,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,1–2,360,0.1750122,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,2–3,263,0.1278561,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,3–4,264,0.1283422,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,4–5,266,0.1293145,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,5–6,175,0.0850754,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,6–7,129,0.0627127,interest-list-data-april-2024.xlsx
2024-04-01,DBMD,7–8,38,0.0184735,interest-list-data-april-2024.xlsx
2024-04-01,HCS,0–1,8325,0.067446,interest-list-data-april-2024.xlsx
2024-04-01,HCS,10–11,6601,0.0534788,interest-list-data-april-2024.xlsx
2024-04-01,HCS,11–12,7628,0.0617992,interest-list-data-april-2024.xlsx
2024-04-01,HCS,12–13,7504,0.0607946,interest-list-data-april-2024.xlsx
2024-04-01,HCS,13–14,7870,0.0637598,interest-list-data-april-2024.xlsx
2024-04-01,HCS,14–15,7569,0.0613212,interest-list-data-april-2024.xlsx
2024-04-01,HCS,15–16,5976,0.0484153,interest-list-data-april-2024.xlsx
2024-04-01,HCS,16–17,3523,0.028542,interest-list-data-april-2024.xlsx
2024-04-01,HCS,1–2,7574,0.0613617,interest-list-data-april-2024.xlsx
2024-04-01,HCS,2–3,6603,0.053495,interest-list-data-april-2024.xlsx
2024-04-01,HCS,3–4,6102,0.0494361,interest-list-data-april-2024.xlsx
2024-04-01,HCS,4–5,7958,0.0644727,interest-list-data-april-2024.xlsx
2024-04-01,HCS,5–6,8270,0.0670005,interest-list-data-april-2024.xlsx
2024-04-01,HCS,6–7,8392,0.0679889,interest-list-data-april-2024.xlsx
2024-04-01,HCS,7–8,8577,0.0694877,interest-list-data-april-2024.xlsx
2024-04-01,HCS,8–9,8023,0.0649994,interest-list-data-april-2024.xlsx
2024-04-01,HCS,9–10,6937,0.056201,interest-list-data-april-2024.xlsx
2024-04-01,MDCP,0–1,2871,0.4942331,interest-list-data-april-2024.xlsx
2024-04-01,MDCP,1–2,2936,0.5054226,interest-list-data-april-2024.xlsx
2024-04-01,MDCP,2–3,1,0.0001721,interest-list-data-april-2024.xlsx
2024-04-01,MDCP,6–7,1,0.0001721,interest-list-data-april-2024.xlsx
2024-04-01,STAR_PLUS_HCBS,0–1,3025,0.9751773,interest-list-data-april-2024.xlsx
2024-04-01,STAR_PLUS_HCBS,1–2,76,0.0245003,interest-list-data-april-2024.xlsx
2024-04-01,STAR_PLUS_HCBS,2–3,1,0.0003224,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,0–1,8312,0.074495,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,10–11,6773,0.0607019,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,11–12,7747,0.0694312,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,12–13,7475,0.0669935,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,13–14,7733,0.0693058,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,14–15,4471,0.0400706,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,1–2,7551,0.0676746,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,2–3,6615,0.0592859,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,3–4,6142,0.0550467,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,4–5,8113,0.0727115,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,5–6,8433,0.0755794,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,6–7,8617,0.0772285,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,7–8,8771,0.0786087,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,8–9,8060,0.0722365,interest-list-data-april-2024.xlsx
2024-04-01,TXHML,9–10,6765,0.0606302,interest-list-data-april-2024.xlsx
2024-05-01,CLASS,0–1,6286,0.0703116,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,10–11,4638,0.051878,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,11–12,4908,0.0548981,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,12–13,5537,0.0619337,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,13–14,6698,0.07492,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,14–15,6168,0.0689917,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,15–16,5530,0.0618554,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,16–17,1346,0.0150556,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,1–2,5729,0.0640813,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,2–3,5071,0.0567213,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,3–4,4160,0.0465314,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,4–5,5356,0.0599092,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,5–6,5790,0.0647637,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,6–7,6251,0.0699201,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,7–8,5881,0.0657815,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,8–9,5417,0.0605915,interest-list-data-may-2024.xlsx
2024-05-01,CLASS,9–10,4636,0.0518557,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,0–1,566,0.2722463,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,1–2,368,0.1770082,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,2–3,270,0.1298701,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,3–4,265,0.1274651,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,4–5,268,0.1289081,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,5–6,175,0.0841751,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,6–7,139,0.0668591,interest-list-data-may-2024.xlsx
2024-05-01,DBMD,7–8,28,0.013468,interest-list-data-may-2024.xlsx
2024-05-01,HCS,0–1,8397,0.0677172,interest-list-data-may-2024.xlsx
2024-05-01,HCS,10–11,6552,0.0528383,interest-list-data-may-2024.xlsx
2024-05-01,HCS,11–12,7526,0.0606931,interest-list-data-may-2024.xlsx
2024-05-01,HCS,12–13,7562,0.0609834,interest-list-data-may-2024.xlsx
2024-05-01,HCS,13–14,7892,0.0636446,interest-list-data-may-2024.xlsx
2024-05-01,HCS,14–15,7645,0.0616527,interest-list-data-may-2024.xlsx
2024-05-01,HCS,15–16,6052,0.0488061,interest-list-data-may-2024.xlsx
2024-05-01,HCS,16–17,3789,0.0305562,interest-list-data-may-2024.xlsx
2024-05-01,HCS,1–2,7785,0.0627818,interest-list-data-may-2024.xlsx
2024-05-01,HCS,2–3,6578,0.053048,interest-list-data-may-2024.xlsx
2024-05-01,HCS,3–4,6277,0.0506206,interest-list-data-may-2024.xlsx
2024-05-01,HCS,4–5,7555,0.0609269,interest-list-data-may-2024.xlsx
2024-05-01,HCS,5–6,8372,0.0675156,interest-list-data-may-2024.xlsx
2024-05-01,HCS,6–7,8355,0.0673785,interest-list-data-may-2024.xlsx
2024-05-01,HCS,7–8,8491,0.0684753,interest-list-data-may-2024.xlsx
2024-05-01,HCS,8–9,8248,0.0665156,interest-list-data-may-2024.xlsx
2024-05-01,HCS,9–10,6925,0.0558463,interest-list-data-may-2024.xlsx
2024-05-01,MDCP,0–1,2897,0.5149307,interest-list-data-may-2024.xlsx
2024-05-01,MDCP,1–2,2728,0.4848916,interest-list-data-may-2024.xlsx
2024-05-01,MDCP,6–7,1,0.0001777,interest-list-data-may-2024.xlsx
2024-05-01,STAR_PLUS_HCBS,0–1,2681,0.9544322,interest-list-data-may-2024.xlsx
2024-05-01,STAR_PLUS_HCBS,1–2,126,0.0448558,interest-list-data-may-2024.xlsx
2024-05-01,STAR_PLUS_HCBS,2–3,2,0.000712,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,0–1,8323,0.0744135,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,10–11,6732,0.0601888,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,11–12,7653,0.0684232,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,12–13,7551,0.0675113,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,13–14,7752,0.0693083,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,14–15,4668,0.0417352,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,1–2,7733,0.0691385,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,2–3,6579,0.0588209,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,3–4,6310,0.0564159,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,4–5,7693,0.0687808,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,5–6,8555,0.0764877,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,6–7,8555,0.0764877,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,7–8,8716,0.0779272,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,8–9,8320,0.0743867,interest-list-data-may-2024.xlsx
2024-05-01,TXHML,9–10,6708,0.0599743,interest-list-data-may-2024.xlsx
2024-06-01,CLASS,0–1,6429,0.0717258,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,10–11,4673,0.0521348,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,11–12,4893,0.0545893,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,12–13,5393,0.0601676,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,13–14,6637,0.0740464,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,14–15,6196,0.0691263,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,15–16,5553,0.0619526,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,16–17,1658,0.0184977,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,1–2,5642,0.0629456,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,2–3,5126,0.0571888,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,3–4,4291,0.047873,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,4–5,5180,0.0577912,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,5–6,5789,0.0645856,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,6–7,6201,0.0691821,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,7–8,5853,0.0652996,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,8–9,5541,0.0618187,interest-list-data-june-2024.xlsx
2024-06-01,CLASS,9–10,4578,0.0510749,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,0–1,592,0.2809682,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,1–2,361,0.1713336,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,2–3,287,0.1362126,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,3–4,254,0.1205505,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,4–5,268,0.1271951,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,5–6,192,0.0911248,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,6–7,142,0.0673944,interest-list-data-june-2024.xlsx
2024-06-01,DBMD,7–8,11,0.0052207,interest-list-data-june-2024.xlsx
2024-06-01,HCS,0–1,8544,0.0686767,interest-list-data-june-2024.xlsx
2024-06-01,HCS,10–11,6596,0.0530187,interest-list-data-june-2024.xlsx
2024-06-01,HCS,11–12,7367,0.059216,interest-list-data-june-2024.xlsx
2024-06-01,HCS,12–13,7588,0.0609924,interest-list-data-june-2024.xlsx
2024-06-01,HCS,13–14,7769,0.0624473,interest-list-data-june-2024.xlsx
2024-06-01,HCS,14–15,7756,0.0623428,interest-list-data-june-2024.xlsx
2024-06-01,HCS,15–16,6185,0.0497151,interest-list-data-june-2024.xlsx
2024-06-01,HCS,16–17,4036,0.0324414,interest-list-data-june-2024.xlsx
2024-06-01,HCS,1–2,7784,0.0625678,interest-list-data-june-2024.xlsx
2024-06-01,HCS,2–3,6675,0.0536537,interest-list-data-june-2024.xlsx
2024-06-01,HCS,3–4,6301,0.0506475,interest-list-data-june-2024.xlsx
2024-06-01,HCS,4–5,7351,0.0590874,interest-list-data-june-2024.xlsx
2024-06-01,HCS,5–6,8353,0.0671414,interest-list-data-june-2024.xlsx
2024-06-01,HCS,6–7,8394,0.067471,interest-list-data-june-2024.xlsx
2024-06-01,HCS,7–8,8366,0.0672459,interest-list-data-june-2024.xlsx
2024-06-01,HCS,8–9,8264,0.0664261,interest-list-data-june-2024.xlsx
2024-06-01,HCS,9–10,7080,0.0569091,interest-list-data-june-2024.xlsx
2024-06-01,MDCP,0–1,3031,0.5302659,interest-list-data-june-2024.xlsx
2024-06-01,MDCP,1–2,2684,0.4695591,interest-list-data-june-2024.xlsx
2024-06-01,MDCP,6–7,1,0.0001749,interest-list-data-june-2024.xlsx
