bill_code,program,service_category,service_description,bill_description,is_cds,is_facility_based,funding_authority,unit_measure,units,payment,current_rate,attendant_cost,attendant_cost_pct,attendant_hours_per_unit,wage_required,rate_after_increase,rate_effective_date,sfy26_est_hours,sfy27_est_hours
2123M0977,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 On-Site,False,False,1915(c) waiver,1 hour,1427421.5,9335574.56,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,420421.31,420421.31
2123M0978,HCS,ISS,Individualized Skills and Socialization LON 1 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 1 Off-Site,False,False,1915(c) waiver,1 hour,163325.5,1543476.67,9.45,1.76,0.18624338624338627,0.13,1.6,9.45,2023-01-01 00:00:00,44668.54,44668.54
2123M0979,HCS,ISS,Individualized Skills and Socialization LON 1 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 1 Off-Site (Enhanced) LVL 1,False,False,1915(c) waiver,1 hour,134.0,2067.65,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,140.95,140.95
2123M0980,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,23617.5,154460.01,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,6956.11,6956.11
2123M0981,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 On-Site,False,False,1915(c) waiver,1 hour,3512457.75,26273183.97,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,1477901.72,1477901.72
2123M0982,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site,False,False,1915(c) waiver,1 hour,375649.25,3549978.69,9.45,1.76,0.18624338624338627,0.13,1.6,9.45,2023-01-01 00:00:00,102737.82,102737.82
2123M0983,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site (Enhanced) LVL 1,False,False,1915(c) waiver,1 hour,543.75,8390.31,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,571.97,571.97
2123M0984,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,64316.5,481087.42,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,27061.81,27061.81
2123M0985,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 On-Site,False,False,1915(c) waiver,1 hour,582194.4,5618201.74,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,404190.79,404190.79
2123M0986,HCS,ISS,Individualized Skills and Socialization LON 6 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 6 Off-Site,False,False,1915(c) waiver,1 hour,51179.75,789708.4,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,53835.98,53835.98
2123M0987,HCS,ISS,Individualized Skills and Socialization LON 6 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 6 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,2077.5,48634.71,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,4370.64,4370.64
2123M0988,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,21739.25,209783.99,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,15092.56,15092.56
2123M0989,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 On-Site,False,False,1915(c) waiver,1 hour,1597941.86,15420224.13,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,1109377.53,1109377.53
2123M0990,HCS,ISS,Individualized Skills and Socialization LON 8 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 8 Off-Site,False,False,1915(c) waiver,1 hour,133245.5,2055999.96,15.43,7.02,0.45495787427090084,0.5,6.35,15.43,2023-01-01 00:00:00,140160.94,140160.94
2123M0991,HCS,ISS,Individualized Skills and Socialization LON 8 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 8 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,2437.75,57068.3,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,5128.54,5128.54
2123M0992,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,45499.25,439069.79,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,31588.04,31588.04
2123M0993,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 On-Site,False,False,1915(c) waiver,1 hour,61936.0,1543445.12,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,130300.96,130300.96
2123M0994,HCS,ISS,Individualized Skills and Socialization LON 9 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 9 Off-Site,False,False,1915(c) waiver,1 hour,8737.25,217732.27,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,18381.43,18381.43
2123M0996,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,901.5,22465.38,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,1896.58,1896.58
2123M1095,HCS,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,160278.75,1048223.8,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,47207.22,47207.22
2123M1096,HCS,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,463399.75,3466230.13,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,194980.08,194980.08
2123M1097,HCS,ISS,Individualized Skills and Socialization LON 6 - On-Site,Individualized Skills and Socialization (ISS) LON 6 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,233853.5,2256687.99,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,162353.73,162353.73
2123M1098,HCS,ISS,Individualized Skills and Socialization LON 8 - On-Site,Individualized Skills and Socialization (ISS) LON 8 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,333346.5,3216796.12,9.65,4.79,0.49637305699481865,0.33,4.34,9.65,2023-01-01 00:00:00,231427.14,231427.14
2123M1099,HCS,ISS,Individualized Skills and Socialization LON 9 - On-Site,Individualized Skills and Socialization (ISS) LON 9 In-Home Other Residential Types,False,False,1915(c) waiver,1 hour,16656.75,415086.21,24.92,17.93,0.7195024077046548,1.0,16.200000000000003,24.92,2023-01-01 00:00:00,35042.47,35042.47
2123M1119,HCS,ISS,Individualized Skills and Socialization LON 5 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 5 Off-Site (Enhanced) LVL 2,False,False,1915(c) waiver,1 hour,158.0,3698.81,23.41,14.04,0.5997436992738145,1.0,12.69,23.41,2023-01-01 00:00:00,332.4,332.4
2137M0154,HCS,Employment Services,Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT LOC 1 (AO),False,False,1915(c) waiver,1 hour,38554.25,1298285.49,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,40555.22,40555.22
2137M0155,HCS,Employment Services,Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT LOC 8 (AO),False,False,1915(c) waiver,1 hour,1159.25,38382.8,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,1219.42,1219.42
2137VM0349,HCS,Employment Services,CDS Employment Assistance and Supported Employment,SUPPORTED EMPLOYMENT (CDS) LOC 1,True,False,1915(c) waiver,1 hour,145205.2,145205.2,32.1,18.493867069486406,0.5761329305135952,1.0,16.71,32.1,2013-09-01 00:00:00,4758.3,4758.3
2146M0149,HCS,SL/RSS,Supervised Living and Residential Support Services LON 1,RESIDENTIAL SUPPORT SERVICES LON 1,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",210732.46,30502338.75,149.08,78.03999999999996,0.523477327609337,7.37,70.48,149.08,2023-09-01 00:00:00,1633704.03,1633704.03
2146M0150,HCS,SL/RSS,Supervised Living and Residential Support Services LON 5,RESIDENTIAL SUPPORT SERVICES LON 5,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",946685.25,145268619.47,158.0,85.74000000000001,0.5426582278481014,7.37,77.43,158.0,2023-09-01 00:00:00,7339180.24,7339180.24
2146M0151,HCS,SL/RSS,Supervised Living and Residential Support Services LON 6,RESIDENTIAL SUPPORT SERVICES LON 6,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",220365.0,41360002.75,192.8,115.87999999999998,0.6010373443983401,7.37,104.64,192.8,2023-09-01 00:00:00,1708380.32,1708380.32
2146M0152,HCS,SL/RSS,Supervised Living and Residential Support Services LON 8,RESIDENTIAL SUPPORT SERVICES LON 8,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",573793.0,95442884.37,171.04,97.02999999999999,0.5672942001870906,7.37,87.62,171.04,2023-09-01 00:00:00,4448331.95,4448331.95
2146M0153,HCS,SL/RSS,Supervised Living and Residential Support Services LON 9,RESIDENTIAL SUPPORT SERVICES LON 9,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",35215.0,9669518.65,280.24,191.63000000000002,0.6838067370825007,7.37,173.04,280.24,2023-09-01 00:00:00,273004.39,273004.39
2147M0166,HCS,SL/RSS,Supervised Living and Residential Support Services LON 1,SUPERVISED LIVING LON 1,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",333682.79,47850387.74,149.08,78.03999999999999,0.5234773276093372,7.37,70.48,149.08,2023-09-01 00:00:00,2586876.83,2586876.83
2147M0167,HCS,SL/RSS,Supervised Living and Residential Support Services LON 5,SUPERVISED LIVING LON 5,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",525272.53,79651566.67,158.0,85.74000000000001,0.5426582278481014,7.37,77.43,158.0,2023-09-01 00:00:00,4072176.86,4072176.86
2147M0168,HCS,SL/RSS,Supervised Living and Residential Support Services LON 6,SUPERVISED LIVING LON 6,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",44400.0,8189930.8,192.8,115.87999999999998,0.6010373443983401,7.37,104.64,192.8,2023-09-01 00:00:00,344211.13,344211.13
2147M0169,HCS,SL/RSS,Supervised Living and Residential Support Services LON 8,SUPERVISED LIVING LON 8,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",141167.27,23086794.29,171.04,97.02999999999999,0.5672942001870906,7.37,87.62,171.04,2023-09-01 00:00:00,1094399.68,1094399.68
2147M0170,HCS,SL/RSS,Supervised Living and Residential Support Services LON 9,SUPERVISED LIVING LON 9,False,False,1915(c) waiver,"1 day = 18 hours, excluding 6 hours for Day Hab",7137.0,1932271.27,280.24,191.63000000000002,0.6838067370825007,7.37,173.04,280.24,2023-09-01 00:00:00,55329.61,55329.61
2148M0372,HCS,PAS/HAB,PAS/HAB (CFC) and Transportation,TRANSPORTATION LOC 1,False,False,1915(c) waiver,1 hour,101475.5,1921428.78,18.36,15.15,0.8251633986928105,1.0,13.69,18.36,2023-09-01 00:00:00,106742.08,106742.08
2148M0374,HCS,PAS/HAB,PAS/HAB (CFC) and Transportation,TRANSPORTATION LOC 8,False,False,1915(c) waiver,1 hour,116.0,2183.46,18.36,15.15,0.8251633986928105,1.0,13.69,18.36,2023-09-01 00:00:00,122.02,122.02
2148VM0373,HCS,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,TRANSPORTATION (CDS) LOC 1 ,True,False,1915(c) waiver,1 hour,2663304.96,2663304.96,22.84,18.84,0.8248686514886164,1.0,17.020000000000003,22.84,2023-09-01 00:00:00,122658.95,122658.95
2148VM0418,HCS,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,TRANSPORTATION (CDS) LOC 8 ,True,False,1915(c) waiver,1 hour,15427.48,15427.48,22.84,18.84,0.8248686514886164,1.0,17.020000000000003,22.84,2023-09-01 00:00:00,710.52,710.52
2154M0332,HCS,Employment Services,Employment Assistance and Supported Employment,EMPLOYMENT ASSISTANCE LOC 8 (AO),False,False,1915(c) waiver,1 hour,25.0,827.5,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,26.3,26.3
2154M0347,HCS,Employment Services,Employment Assistance and Supported Employment,EMPLOYMENT ASSISTANCE LOC 1 (AO),False,False,1915(c) waiver,1 hour,43835.75,1482860.9,33.1,19.07,0.5761329305135952,1.0,17.23,33.1,2011-09-01 00:00:00,46110.83,46110.83
2154VM0348,HCS,Employment Services,CDS Employment Assistance and Supported Employment,EMPLOYMENT ASSISTANCE (CDS) LOC 1 ,True,False,1915(c) waiver,1 hour,22327.48,22327.48,32.1,18.493867069486406,0.5761329305135952,1.0,16.71,32.1,2013-09-01 00:00:00,731.66,731.66
2210CFCM0360,TxHmL,PAS/HAB,PAS/HAB (CFC) and Transportation,CFC PAS/HAB,False,False,State Plan (Title XIX),1 hour,1303526.84,23638565.15,17.88,14.67,0.8204697986577182,1.0,13.26,17.88,2023-09-01 00:00:00,1401943.12,1401943.12
2210CFVM0361,TxHmL,PAS/HAB,CDS PAS/HAB (CFC) and Transportation,CFC PAS/HAB (CDS) ,True,False,State Plan (Title XIX),1 hour,21436040.3,21436040.3,22.16,18.18,0.8203971119133574,1.0,16.430000000000003,22.16,2023-09-01 00:00:00,1040363.78,1040363.78
2211XM0240,TxHmL,In Home Respite,In Home Respite,HOURLY RESPITE LOC 1 IN-HOME,False,False,1915(c) waiver,1 hour,426886.62,8276678.13,20.0,11.77,0.5885,1.0,10.64,20.0,2023-09-01 00:00:00,459116.56,459116.56
2211XM0903,TxHmL,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE IN A DH FACILITY,False,False,1915(c) waiver,1 hour,1138.0,22791.88,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,1223.92,1223.92
2211XM0904,TxHmL,In Home Respite,In Home Respite,HOURLY RESPITE WHERE HH/CC IS PROVIDED,False,False,1915(c) waiver,1 hour,663.5,13107.99,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,713.59,713.59
2211XM0905,TxHmL,In Home Respite,In Home Respite,HOURLY RESPITE WHERE SL OR RSS IS PROVIDED,False,False,1915(c) waiver,1 hour,468.5,9394.42,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,503.87,503.87
2211XM0906,TxHmL,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE IN A SETTING NOT LISTED ,False,False,1915(c) waiver,1 hour,46053.25,894801.11,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,49530.27,49530.27
2211XM1093,TxHmL,Out of Home Respite,Out-of-Home Respite,HOURLY RESPITE LOC 1 IN-CAMP,False,False,1915(c) waiver,1 hour,481.0,9086.09,18.89,11.77,0.6230809952355744,1.0,10.64,18.89,2023-09-01 00:00:00,517.32,517.32
2211XVM0241,TxHmL,In Home Respite,CDS In Home Respite,HOURLY RESPITE LOC 1 -IN-HOME (CDS) ,True,False,1915(c) waiver,1 hour,5411263.35,5411263.35,19.0,11.77,0.6194736842105263,1.0,10.64,19.0,2023-09-01 00:00:00,306305.99,306305.99
2211XVM0907,TxHmL,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE IN A DH FACILITY (CDS) ,True,False,1915(c) waiver,1 hour,4633.58,4633.58,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,278.56,278.56
2211XVM0910,TxHmL,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE IN A SETTING NOT LISTED (CDS) ,True,False,1915(c) waiver,1 hour,37380.56,37380.56,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,2247.22,2247.22
2211XVM1094,TxHmL,Out of Home Respite,CDS Out-of-Home Respite,HOURLY RESPITE LOC 1 IN-CAMP (CDS) ,True,False,1915(c) waiver,1 hour,9126.9,9126.9,17.89,11.77,0.6579094466182224,1.0,10.64,17.89,2023-09-01 00:00:00,548.69,548.69
2223M1005,TxHmL,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 On-Site,False,False,1915(c) waiver,1 hour,96588.25,631720.48,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,29086.59,29086.59
2223M1006,TxHmL,ISS,Individualized Skills and Socialization LON 1 - Off-Site (incl. Enhanced),Individualized Skills and Socialization (ISS) LON 1 Off-Site,False,False,1915(c) waiver,1 hour,12918.75,122087.15,9.45,1.76,0.18624338624338627,0.13,1.6,9.45,2023-01-01 00:00:00,3612.47,3612.47
2223M1008,TxHmL,ISS,Individualized Skills and Socialization LON 1 - On-Site,Individualized Skills and Socialization (ISS) LON 1 In-Home EVV OHFH,False,False,1915(c) waiver,1 hour,1732.5,11330.77,6.54,2.05,0.3134556574923547,0.14,1.86,6.54,2023-01-01 00:00:00,521.73,521.73
2223M1100,TxHmL,ISS,Individualized Skills and Socialization LON 5 - On-Site,Individualized Skills and Socialization (ISS) LON 5 On-Site,False,False,1915(c) waiver,1 hour,92711.75,693483.89,7.48,2.87,0.3836898395721925,0.2,2.5999999999999996,7.48,2023-01-01 00:00:00,39884.59,39884.59
